у Pron-Gen у NP-Gen Cl,у нее у дочки уже родился сын,I agree,Subject,Subject switch,,,Clause,Clause,,,,,,,,,,,,,,,,
"уж кто-кто, а NP Cl","уж кому-кому, а ему я точно нужна",I agree,Characteristics,Exclusivity,,,Clause,Clause,,,,,,,,,,,,,,,,
хватит VP-Inf,хватит ругаться,Activity Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ходить NP-Nom о|про NP-Ins,Ходят слухи об отъезде Петровых,I agree,Discourse,Degree of certainty,,,Clause,Clause,,,,,,,,,,,,,,,,
хорошо бы VP-Inf,хорошо бы покурить,Activity Causation Indirect Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
чего (это) VP?,Чего лежишь,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
что (это) за NP-Nom,что (это) за книга,Characteristics Categorisation,,,,,Clause,Clause,,,,,,,,,,,,,,,,
что такое Cl,чем таким заняться вечером,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
что это NP-Nom VP,что это вы молчите,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
что NP-Dat мешать VP-Inf,что ему мешало рассказать тогда всю правду,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
что Pron-Dat NP-Nom,что мне дождь,"Characteristics Attitude Еще есть отдельная конструкция в базе что_Pron-Dat_NP-Nom_если_Cl? – Что мне деньги, если я несчастен Consession",,,,,Clause,Clause,,,,,,,,,,,,,,,,
чуть что ― Cl,чуть что ― он сразу звонит в полицию,I agree,Activity,Condition,,,Clause,Clause,,,,,,,,,,,,,,,,
это ли не NP-Nom,это ли не чудо,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
Этот-Nom NP-Nom не про NP-Acc,Эти лакомства -- не про нас.,"Characteristics Categorisation Конструкция обозначает, что [что-то]Theme не подходит, или не релевантно для [говорящего]Beneficiary. [[Пить, курить и не учиться]Theme [это]Этот-NP [все]Theme -- [не]не [про]про [Петю]Beneficiary. ]Этот-NP_NP- Activity Prohibition is a wrong tag",,,,,Clause,Clause,,,,,,,,,,,,,,,,
Itg только NP-Nom VP,как только она это выносит,"Characteristics Exclusivity Конструкция употребляется в риторических вопросах и восклицаниях и обозначает возмущение, негодование, удивление совершенным [действием]Action [участника]Agent. Только может сто CORRECT DESCRIPTION",,,,,Clause,Clause,,,,,,,,,,,,,,,,
Noun-Nom есть Noun-Nom,факт есть факт,Characteristics Categorisation Sameness,,,,,Clause,Clause,,,,,,,,,,,,,,,,Reduplication
Noun-Nom и Noun-Nom,Работа и работа,Characteristics Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,Reduplication
Noun-Nom Pron-Nom и есть Noun-Nom,Мужик он и есть мужик,Characteristics Categorisation Sameness,,,,,Clause,Clause,,,,,,,,,,,,,,,,Reduplication
NP и так VP (а) Cl,"мне и так плохо, а ты ещё лезешь с вопросами",Activity Concession (ustupka) or Condition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP как VP-Perf,а потом у него как затрясутся руки,"Activity Ingressivity Unexpected outcome Конструкция обозначает начало какого-то неожиданного(напряженного), внезапного [действия]Action в прошлом.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Acc не проведешь,почтальона не проведешь,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Acc убить мало,за такое поведение его убить мало,Characteristics Assessment Negative Intensity,,Intensity,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Dat (не) VP-ся,мне не спится,Activity Antiresultative?,,,,,Clause,Clause,,,,,,,,,,,,,,,,Negation
NP-Dat ли VP-Inf,мне ли спорить,"Activity Prohibition? Конструкция выражает невозможность выполнения [действия]Action [участником]Experiencer. Говорящий уже знает о сложившейся ситуации и считает, что [участник]Experiencer не должен выполнять [это действие]Action. Еть причина, по которой участник не способен выполнить действие. CORRECT TYPOS IN DESCRIPTION",,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Dat лишь бы VP-Inf,вам лишь бы деньги тратить,"Characteristics Assessment Negative OR Activity Exclusivity Конструкция используется для отрицательной оценки [намерений]Action [некоторого участника на дательном падеже]Agent. Этот участник, по мнению говорящего, необоснованно предпочитает только [один тип занятий]Action и никаких других.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Gen бы,чаю бы,Activity Request Causation Indirect,,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Gen2 Adv бы,Кофейку неплохо бы,Activity Request Causation Indirect,,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom (опять/всё) за своё,Витя опять за своё,"Activity Sameness OR Characteristics Assessment Negative Конструкция означает, что [участник]Participant раньше делал нечто, что отрицательно оценивалось говорящим и окружающими. Зная об этом, он прекратил действие, но в описываемый момент он повторяет действие -- и это вызывает негативную оценку говорящего.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom (это) ещё ничего,Это ещё ничего,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom давай VP-Inf,он давай петь,"Activity Ingressivity Конструкция обозначает, что [участник]Agent начинает [какое-либо действие]Action. Конструкция может иметь некоторую неодобрительную коннотацию. Предложение обычно начинается с восклицания А EXAMPLE [Ребенок]Agent увидел маму и [ [давай]давай [смеяться]Action]NP-Nom_давай_VP-Inf",,,,,Clause,Clause,,,,,,,,,,,,,,,,
NP-Nom как Noun-Nom,хлеб как хлеб,Characteristics Assessment,,,,,Clause,Clause,,,,,,,,,,,,,,,,Reduplication
NP-Nom не иметь значения,деньги уже не имеют значения,Characteristics Attitude,,,,,Clause,Clause,,,,,,,,,,,,,,,,
