ID Number of construction,Construction,Illustration,Comments,SemSupraType,SemType1,SemSubType1,SemType2,Communicative type (only for Clause and Biclausal),Syntactic tag_Old version                                                            ,Clause,Biclausal,Matrix,Praedic,Parenth,Adj,Adv,Conj,Prep,Part,Verb pattern,Light verb,Nominal pattern,,,Тэги из гуглдока,Структурные особенности,Negation,Reduplication,Inversion
390,Adj-йший из NP-Gen.Plur,медицина является древнейшей из наук,,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
393,Adj-Cmp всех,ты был лучше всех,change syntax tag!,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,Adj-Cmp прочих,,,Characteristics,Comparison,,Intensity,,,,,,,,,,,,,,,,,,,,,,
,Adj-Cmp многих,,,Characteristics,Comparison,,Intensity,,,,,,,,,,,,,,,,,,,,,,
576,NP-Nom NP-Dat рознь,ученик ученику рознь,,Characteristics,Comparison,,Negotiation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
571,"NP-Nom Adv-Cmp, чем NP-Nom","Она старше, чем ты",,Characteristics,Comparison,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
603,NP-Plur один другой-Gen Adj-Cmp,Девочки одна другой стройнее,,Characteristics,Comparison,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
56,весь в NP-Loc,Он пришел весь в синяках,"Дефиниция мне не нравится, ее надо переписать. Нужно обязательно сказать, что объект покрыт чем-то.",Characteristics,Covering,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
268,по Num-Acc NP-Gen за NP-Acc,В Сочи мимозу можно продать по два рубля за один килограмм,Из нашего обсуждения с Валей и Дашей: family with 267.,Characteristics,Distribution,Money,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
267,по Num-Acc (NP-Gen) NP-Gen,он сочинял по несколько стихотворений в год,"Из нашего обсуждения с Валей и Дашей: family with 268. название конструкции надо изменить! заменить NP-Gen на ""в NP-Acc"" (?) См. в Конструктиконе: выпили [ [по]по [несколько]Number [банок]Container [пива]Theme ] Мама раздала всем по 4 конфеты. MOVE THESE TO A DIFFERENT CONSTRUCTION.  Конструкция указывает на [количество]Number [чего-либо]Theme при распределении, обозначении цены или последовательности. Конструкция также может иметь дополнительный актант.",Characteristics,Distribution,,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
572,NP-Nom AP-Nom до NP-Gen,родители религиозные до фанатизма,,Characteristics,Intensity,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
52,в NP-Loc NP-Nom,в руке боль,,Characteristics,Location,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
333,толпа NP-Gen.Plur,толпа людей,,Characteristics,Measure,High,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,ростом в Num-Acc NP-Gen,,,Characteristics,Measure,High,,,,,,,,,,,,,,,,,,,,,,,
129,за Num-Acc рублей,За пять рублей,,Characteristics,Measure,Money,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
187,на Num-Acc рублей,"На сто рублей можно купить хлеб и колбасу
",,Characteristics,Measure,Money,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
,длиной в Num-Acc NP-Gen,,,Characteristics,Measure,Size,,,,,,,,,,,,,,,,,,,,,,,
288,размером|величиной с NP-Acc,Собака была размером с лошадь,"Может быть, нужно заменить прямую черту на косую черту в записи конструкции, как, например, в случае 290.",Characteristics,Measure,Size,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
55,весом в Num-Acc NP-Gen,весом в шесть тонн,,Characteristics,Measure,Weight,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
