,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
300,самый AP среди NP-Gen,самая бедная среди подруг,Superlative,Characteristics,Comparison,,Intensity,,Adj,,,,,,Adj,,,,,,,,,,,,,,
301,своего рода NP,этот концерт был своего рода дебютом для организаторов,,Characteristics,Assessment,,Comparison,,Adj,,,,,,Adj,,,,,,,,,,,,,,
302,"сдаётся PRON-Dat, Cl","сдаётся мне, что сегодня будет дождь",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
303,"сегодня ХP, завтра XP","Зима в Москве суровая. Сегодня здоров, завтра ― болен.",,Activity,Time,,Comparison,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
304,сидеть за NP-Ins,сидеть за работой,,Activity ,Continuation,,Intensity,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
305,сидеть VP,Сижу курю,,Activity,Continuation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
306,сколько бы ни VP-Past Cl,"сколько бы ни было соблазнов, я смогу перед ними устоять.",,Activity,Condition,,Quantification,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
307,"слишком AP-Short, чтобы VP-Inf","он слишком слаб, чтобы лететь на самолете.",,Characteristics,Assessment ,,Categorisation,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
308,"словом, Cl","Словом, я хочу её видеть",Metatextual commentary / Structuring text / Text structure,Discourse,Summary,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
309,"смотреть-Imper, не VP-Imper","смотрите, не опоздайте!",,Activity,Apprehension,,Prohibition,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
310,смотря SCONJ VP,смотря где ты живёшь,,Activity,Condition,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
311,со временем Cl,со временем она обязательно научится готовить,,Activity,Time,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
312,совсем ещё NP,совсем ещё мальчик,,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
313,согласно NP-Dat,"согласно завещанию, ей переходит дом",,Discourse,Source of information,,,,Prep,,,,,Parenth,,,,Prep,,,,,,,,,,,
314,сплошной NP,На полях сражений царил сплошной ужас,,Characteristics,Intensity,High,,,Part,,,,,,,,,,Part,,,,,,,,,,
315,станет Pron-Nom VP-Inf!,Станет он посуду мыть!,"Значение: не станет. Это нужно сделать яснее в дефиниции конструкции. То, что, хотя отрицания нет здесь, значение на самом деле такое, что человек не станет совершать действие. И это не просто неуверенность говорящего, а скорее прогноз.",Discourse,Reaction to the previous discourse,,Degree of certainty,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
316,"стоить (NP-Dat) VP-Perf, как Cl","стоило ей отвернуться, как он сбежал",,Activity,Condition,,Time,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
317,"столько NP-Gen, что Cl","На концерт пришло столько людей, что некуда было сесть",,Characteristics,Quantification,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
318,так бы (и) VP!,так бы и убила его!,,Activity,Attitude,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
319,так и не VP-Past,Ивана так и не отстранили от управления автомобилем,,Activity,Antiresultative,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
320,так называемый NP,так называемый образец,Family with 339,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
321,так я (тебе) и VP!,так я тебе и поверила!,Equals No,Discourse,Reaction to the previous discourse,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
322,такой же XP как и NP,"Сын такой же высокий, как и отец",,Characteristics,Comparison,Sameness,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
323,такой NP как/какой/который XP Cl,"Таких домов, как ваш, много","Судя примерам, конструкция 324 практически идентична конструкции 323. Может быть, стоит их соединить в одну конструкцию.",Characteristics,Similarity,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
324,"такой NP, как NP-Nom, Cl","такому человеку, как он, не стыдно признаться в своей неправоте","Судя примерам, конструкция 324 практически идентична конструкции 323. Может быть, стоит их соединить в одну конструкцию.",Characteristics,Similarity,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
325,тем временем Cl,Тем временем директор покинул здание,"При поиске конструкция не выходит. Появлется только на поиск слова ""тем"".",Activity,Time,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
326,то и дело VP,маме то и дело звонили,,Activity,Time,Periodicity,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
327,то ли дело NP,Устала работать! То ли дело беззаботное лето,,Characteristics,Comparison,,,,Part,,,,,,,,,,Part,,,,,,,,,,
328,"то ли XP, то ли XP","Сегодня идет то ли дождь, то ли снег",,Discourse,Options,,Degree of certainty,Assertive,Biclausal / Conj,Clause,Biclausal,,,,,,Conj,,,,,,,,,,,,
329,"то VP, то VP","он то плакал, то угрожал","Add он был то веселым, то грустным.",Activity,Options,,Distribution,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Reduplication,,Reduplication,
330,то-то Cl,Не завтракал. То-то я хочу есть!,,Discourse,Reaction to the previous discourse,,,,Part,,,,,,,,,,Part,,,,,,,Reduplication,,Reduplication,
331,того и гляди VP-Perf,того и гляди конфеты съест,,Activity,Apprehension,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
332,тоже мне NP-Nom!,тоже мне герой!,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
333,толпа NP-Gen.Plur,толпа людей,,Characteristics,Measure,High,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
334,только бы не VP,Миша пошел по скользкой дороге. Только бы не упал!,,Activity,Apprehension,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
335,"только и знать, что Cl","он только и знает, что болтать лишнее",,Activity,Exclusivity,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
336,"только и NP-Gen.Plur, что Cl","только и разговоров, что о доме",,Characteristics,Exclusivity,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
337,только NP-Dat NP-Gen (ещё) не хватало!,только дождя не хватало!,,Characteristics,Attitude,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
338,тот ещё NP-Nom,то ещё удовольствие,Family with 320,Characteristics,Assessment,Negative,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
339,у NP-Gen есть NP-Nom,У Паши есть кот,,Subject,Possession,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
340,у Pron-Gen у NP-Gen Cl,у нее у дочки уже родился сын,,Subject,Subject switch,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
341,"уж кто-кто, а NP Cl","уж кому-кому, а ему я точно не нужна",,Characteristics,Exclusivity,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
342,Ужасно XP,ужасно скучно,,Characteristics,Intensity,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
343,умирать-Pres.1.Sing Cl,"Умираю, скучно!",,Characteristics,Intensity,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
344,хватит VP-Inf!,Хватит ругаться!,,Activity,Prohibition,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
345,ходить в NP-Loc.Plur,она уже давно ходит в невестах,,Characteristics,Temporary state,,,,Verb pattern,,,,,,,,,,,Verb pattern,Light verb,,,,,,,,
346,"ходить слух, что Cl","ходят слухи, что лето будет жарким",,Discourse,Source of information,,Degree of certainty,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
347,ходить NP-Nom о|про NP-Ins,Ходят слухи об отъезде Петровых,,Discourse,Degree of certainty,,,Assertive,Clause / Light verb,Clause,,,,,,,,,,,Light verb,,,,,,,,
348,хороший-Short NP-Nom!,Хорош учёный!,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
349,хорошо бы VP-Inf,хорошо бы покурить,,Activity,Causation,Indirect,Wish,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
350,хоть Int,встретимся хоть когда,,Characteristics / Activity,Quantification,Universal,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
351,"хоть NP, хоть NP","покупай хоть мотоцикл, хоть машину",,Characteristics,Options,,Attitude,,Conj,,,,,,,,Conj,,,,,,,,,Reduplication,,Reduplication,
352,хоть VP-Imper (но/а) Cl,"хоть умри, а завтра должен быть на работе рано утром",,Activity,Causation,Direct,Concession,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
353,чего (это) VP?,Чего лежишь?,Similar to 366,Activity,Cause,,Attitude,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
354,чего доброго VP-Fut,"чего доброго, заставят посуду мыть",,Discourse,Apprehension,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
355,человек NP-Gen,человек трудной судьбы,,Characteristics,Categorisation,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
356,чем бы VP VP (бы),"Чем бы учиться, он гуляет",Similar to 223,Activity,Assessment,Negative,Options,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
357,"чем Adj-Cmp/Adv-Cmp, тем Adj-Cmp/Adv-Cmp","чем больше, тем лучше",,Characteristics,Comparison,,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
358,чем NP-Nom не NP-Nom?,чем картошка не еда?,,Characteristics,Categorisation,,Comparison,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
359,чёрт знает SCONJ,чёрт знает как решать эту задачу,,Characteristics,Assessment,Negative,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
360,чёрт с Pron-Ins!,Чёрт с ним! Поеду в город один!,"Пока нет в списке: ""Шут с ним""",Characteristics,Attitude,,Assessment,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
361,что (это) за NP-Nom?,что (это) за книга?,,Characteristics,Categorisation,,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
362,что бы ни VP-Past Cl,"Что бы он ни говорил, я ручаюсь за него",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
363,"что до NP-Gen, то Cl","Что до нового руководителя, то я не хочу о нем говорить",,Discourse,Topic,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
364,что же NP-Nom VP?,что же он сидит?,Similar to 354,Activity,Cause,,Attitude,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
365,"что касается NP-Gen, то Cl","Что касается спорта, то я никогда не любил бегать",,Discourse,Topic,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
366,что на NP-Acc нашло,что на него нашло сегодня?,,Activity,Cause,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
367,"что ни говори(те), (а) Cl","что ни говори, а он прав",,Discourse,Concession,,,,Parenth,,,,,Parenth,,,,,,,,,,,,Negation,Negation,,
368,"что ни NP-Nom, то NP-Nom","что ни растение, то сорняк",,Characteristics,Categorisation,,,,Conj,,,,,,,,Conj,,,,,,,,,Negation,Negation,,
369,Что с NP-Ins?,Что с ним? Почему он плачет?,Similar to 354,Activity,Cause,,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
370,что такое Cl?,чем таким заняться вечером?,,Characteristics,Categorisation,,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
371,что/чего тут VP-Inf?!,Что тут думать? Надо срочно покупать эту сумку!,"The same as old 355, merged with 355, 355 is deleted",Discourse,Reaction to the previous discourse,,Degree of certainty,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
372,что это NP-Nom VP,что это вы молчите?!,Similar to 366,Activity,Cause,,Attitude,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
373,что Adj-Gen?,что плохого?,,Characteristics,Categorisation,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
374,что NP-Dat мешать VP-Inf,что ему мешало рассказать тогда всю правду,,Activity,Condition,,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
375,что Pron-Dat NP-Nom,что мне дождь,"Еще есть отдельная конструкция в базе что_Pron-Dat_NP-Nom_если_Cl? – Что мне деньги, если я несчастен Consession",Characteristics,Attitude,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
376,что Pron-Dat NP-Nom если Cl?,"Что мне деньги, если я несчастен",,Discourse,Attitude,,Condition,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
377,что Pron-Nom устроить,Что ты устроил! Почему вокруг грязь?,,Characteristics,Assessment,Negative,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
378,что-то вроде NP-Gen,что-то вроде ракеты вдруг резко взлетело в воздух,см. 171,Characteristics,Similarity,,Approximation,,Adj,,,,,,Adj,,,,,,,,,,,,,,
379,чтоб Pron-Nom VP-Past.Perf!,чтоб он пропал!,,Activity,Threat,,Damnation,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
380,чтоб(ы) Pron VP-Past!,чтобы я больше об этом не слышала!,"We should add negation into the formula here. Also prohibition, as 382?",Activity,Request,,Wish,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
381,чтоб(ы) Pron-Nom V-Past!,Чтобы он опоздал! Он всегда выходит вовремя.,Equals No,Discourse,Reaction to the previous discourse,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
382,чтобы NP-Gen NP/Adv не было!,чтобы животных здесь не было!,Too similar to 380?,Activity,Prohibition,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
383,чудо какой Adj,Машенька просто чудо какая красивая,,Characteristics,Assessment,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
384,чуть ли не Cl,это чуть ли не в прошлом году случилось,,Characteristics,Approximation,,Degree of certainty,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
385,чуть что ― Cl,чуть что ― он сразу звонит в полицию,,Activity,Condition,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
386,"это как раз то, что Cl","это как раз то, чего я боюсь",,Characteristics,Exclusivity,,Focus,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
387,это ли не NP-Nom?,это ли не чудо?,,Characteristics,Attitude,,Categorisation,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
388,Этот-Nom NP-Nom не про NP-Acc,Эти лакомства – не про нас,,Characteristics,Categorisation,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
389,я Pron-Dat VP-Fut!,я тебе поору!,,Activity,Threat,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
390,Adj-йший из NP-Gen.Plur,медицина является древнейшей из наук,,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
393,Adj-Cmp всех,ты был лучше всех,change syntax tag!,Characteristics,Comparison,,Intensity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
394,Adv Pron-Dat,Смешно ему!,,Activity,Threat,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
395,Adv-то как Cl!,быстро-то как он справился с задачей!,,Characteristics,Assessment,,Intensity,,Part,Clause,,,,,,Adv,,,Part,,,,,,,,,,
396,Adv-Cmp/Adj-Cmp NP-Gen,Олень бежит быстрее лани,,Characteristics,Comparison,,,,Adj / Adv,,,,,,Adj,Adv,,,,,,,,,,,,,
397,c NP-Ins (NP-Acc),c Новым годом!,Is Routine the right term in English?,Discourse,Routine,,Kind wishes,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
398,Cl (быть) не без NP-Gen,эти громкие заявления были не без оснований,,Activity,Cause,,,,Adj / Adv,,,,,,Adj,Adv,,,,,,,,,,Negation,Negation,,
399,Cl (да) и всё тут,Не буду есть мясо и всё тут.,Нужно более детальное описание конструкции.,Discourse,Intensity,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
400,Cl (да) что (тут) говорить!,"Нелегко нам будет, что тут говорить",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
401,"Cl без того, чтобы Cl","ни одна ночь не проходила без того, чтобы Сережа не играл на скрипке",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
402,Cl будь то NP или NP,будь то врач или учитель,,Characteristics,Options,,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
403,Cl в знак NP-Gen,Он в знак согласия с Мишей кивнул головой,,Activity,Manner,,,,Prep,,,,,,,,,Prep,,,,,,,Выражение эмоций у Маши: покраснеть от стыда,,,,
404,Cl в связи с NP-Ins,Все рейсы отменены в связи с плохой погодой,,Activity,Cause,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
405,Cl в честь NP-Gen,Она пела в честь его дня рождения,,Activity,Cause,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
406,"Cl до тех пор, пока Cl","Жди до тех пор, пока я вернусь",Similar to 407,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
407,"Cl до той поры, пока/когда Cl","Он не уйдет до той поры, пока всё не съест",Similar to 406,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
408,Cl и без того NP,летние пожары почти уничтожили и без того небогатый урожай,Соединить с 447?,Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,,,,,,,,
409,Cl как есть,отдавайте как есть,"In Masha's classification: ""обращение к собственному качеству"", бывает еще ""говори как есть""",Characteristics / Activity,Manner,,Categorisation,,Adv,,,,,,,Adv,,,,,,,,,,,,,
410,"Cl не только Cl, но и Cl","Он был не только умён, но и добр",,Characteristics,Additive,,,Assertive,Biclausal / Conj,Clause,Biclausal,,,,,,Conj,,,,,,,,,Negation,Negation,,
411,Cl нет так нет,Ты не поедешь? Нет так нет.,,Discourse,Reaction to the previous discourse,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
412,Cl очень даже XP!,твой выбор я очень даже одобряю,,Characteristics ,Assessment,,,,Part,,,,,,,,,,Part,,,,,,,,,,
413,Cl полный NP,Это был полный провал!,,Characteristics,Intensity,High,,,Part,,,,,,,,,,Part,,,,,,,,,,
414,Cl с тем чтобы VP,Мы встретимся с тем чтобы закончить эту работу,,Activity,Purpose,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
415,"Cl с тех пор, как Cl","он мне не звонил с тех пор, как переехал в Москву",,Activity,Time,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
416,Cl скажи нет,"она красавица, скажи нет",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
417,"Cl так нет (же), Cl","всё съел, так нет же, ему мало",,Discourse,Intensity,,,,Parenth,,,,,Parenth,,,,,,,,,,,,Negation,Negation,,
418,Cl хотя бы ради NP-Gen,надо съесть вечером пирожное хотя бы ради наслаждения,,Activity,Concession,,Purpose,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
419,Cl чем не NP-Nom,чем не жених?,,Characteristics,Assessment,,Categorisation,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
420,"Cl, тем не менее, Cl","было сложно, тем не менее, мы справились",Конструкция не выходит при поиске.,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
421,"Cl, (а) не то с NP-Ins быть-Fut иметь дело","прекрати обижать свою сестру, не то будешь иметь дело со мной.",,Activity,Threat,,,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
422,"Cl, (и/но) (тут) (уж) ничего (с этим) не поделать","Да, он уезжает, ничего не поделаешь","В формуле инфинитив не поделать, а в иллюстрации не поделаешь.",Discourse,Attitude,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
423,"Cl, а то VP-Fut","нужно больше работать, а то уволят",,Activity,Apprehension,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
424,"Cl, если можно","Кофе, если можно",,Activity,Request,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
425,"Cl, если Pron-2 не Adv","прочитай мой рассказ, если тебе не трудно",,Activity,Request,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
426,"Cl, как положено","мы собрали посуду со стола, как положено",,Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
427,"Cl, что ли","он умер, что ли, я не знаю точно",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
428,"DiscCl так, Cl","Она мне не нравилась, а так, баловство одно.",,Characteristics,Assessment,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
429,"INTJ, как Adv!",ой как страшно!,,Discourse,Reaction to the previous discourse,,Assessment,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
430,"INTJ, какой (Adj-Nom) (NP-Nom)!","ой, какой горячий (хлеб)!",,Characteristics,Intensity,,Assessment,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
431,Itg только NP-Nom VP!,Как только она это выносит!,,Characteristics,Assessment,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
432,Noun NP-Gen.Plur,король королей,,Characteristics,Assessment,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
433,Noun-то!,усищи-то!,Discource,Characteristics,Assessment,,Intensity,,Part,,,,,,,,,,Part,,,,,,,,,,
434,Noun-Nom есть Noun-Nom,факт есть факт,,Characteristics,Categorisation,,Sameness,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
435,Noun-Nom и Noun-Nom,Работа и работа,,Characteristics,Attitude,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
436,Noun-Nom Pron-Nom и есть Noun-Nom,Мужик он и есть мужик,,Characteristics,Categorisation,,Sameness,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
437,Noun-Nom-Noun-Ins а/но Cl,"дружба-дружбой, но я влюбился в нее",В наименование конструкции нужно добавить запятую перед союзом.,Activity,Concession,,,Assertive,Nominal pattern / Clause,Clause,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
438,NP (и) без того Cl,"Капитан и без того знал, что нужно делать.",Соединить с 408?,Discourse,Emphasis,,,,Part,Clause,,,,,,,,,Part,,,,,,,,,,
439,NP без ничего,булочка без ничего,,Characteristics,Categorisation,,,,Adj,,,,,,Adj,,,,,,,,,,,Negation,Negation,,
440,NP быть не ахти (какой),Из-за ветра скорость была не ахти,,Characteristics,Assessment,,,,Adj / Adv,,,,,,Adj,Adv,,,,,,,,,,Negation,Negation,,
441,NP в том числе (и) NP,"живые существа, в том числе (и) растения, пьют воду",,Characteristics,Subset,,Inclusivity,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
442,NP в NP-Acc,у него была тетрадь в клетку,"Можно добавить в описание конструкции, что речь идет о расцветке предмета.",Characteristics,Categorisation,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
443,NP все до единый-Gen Cl,Они все до единого присутствовали на собрании,,Characteristics,Quantification,Universal,Intensity,,Adj,,,,,,Adj,,,,,,,,,,,,,,
444,NP до смешного Adj,он до смешного маленький,,Characteristics,Intensity,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
445,NP за NP-Acc,штраф за неправильную парковку,Сравнить 445 и 446. Формулы одинаковые. Нужно ли развести?,Characteristics,Categorisation,,Cause,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
446,NP за NP-Acc,журнал за ноябрь,Сравнить 445 и 446. Формулы одинаковые. Нужно ли развести?,Characteristics,Time,,Categorisation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
447,NP и впрямь/вправду XP,я и впрямь ему верю,,Discourse,Reaction to the previous discourse,,Degree of certainty,,Part,,,,,,,,,,Part,,,,,,,,,,
448,NP и так VP (а) Cl,"мне и так плохо, а ты ещё лезешь с вопросами",,Activity,Concession,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
449,NP из NP-Gen.Plur,король из королей,,Characteristics,Assessment,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Reduplication,,Reduplication,
450,NP иметь дело с NP-Ins,он когда-то имел дело с трудными подростками,"бывает еще ""иметь опыт""",Characteristics,Categorisation,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
451,NP как будто VP,они как будто уезжают сегодня,,Discourse,Degree of certainty,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
452,NP как бы VP,спектакль как бы разбит на несколько частей,,Discourse,Degree of certainty,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
453,NP как VP-Perf,а потом у него как затрясутся руки,,Activity,Inceptive,,Unexpected outcome,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
454,NP лет Num-Gen,зашел старик лет семидесяти и попросил чашку кофе,"Примеры 2 и 3 довольно странные, их лучше заменить. С мордой в примере 3 и с набрякшими веками в примере 2 звучат очень странно.",Characteristics,Measure,Age,Approximation,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
455,NP не против,девушка не против,,Characteristics,Attitude,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
456,NP с большой буквы,врач с большой буквы,,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
457,NP с виду AP,Старик был с виду спокоен,,Characteristics,Comparison,Hidden comparison,Imitation,,Adv,,,,,,,Adv,,,,,,,,,,,,,
458,NP только что не Cl,его только что не на руках носят,,Characteristics / Activity,Intensity,High,,,Part,,,,,,,,,,Part,,,,,,,Negation,Negation,,
459,NP цвета NP-Gen,девушка с глазами цвета неба,"Пересмотреть дефиницию. На мой взгляд, можно ее сформулировать точнее и конкретнее.",Characteristics,Categorisation,,,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
460,NP что надо,праздник что надо,,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
461,NP Adj/Noun,у нее была юбка мини,"Прилагательные в этой конструкции, как правило, неизменяемые. Нужно это указать в формуле и сказать в дефиниции.",Characteristics,Categorisation,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
462,NP NP-Ins,у него голова тыквой,,Characteristics,Categorisation,,Comparison,,Adj / Nominal pattern,,,,,,Adj,,,,,,,Nominal pattern,,,,,,,
463,NP VP с Num-Gen лет,я играю в баскетбол с десяти лет,,Activity,Time,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
